Region,Resource,Zone,Cluster,AnnualSum
None,nse0_industry_load_SE3,3,1,6.085068590628541e7
None,nse1_industry_load_SE3,3,1,4.2437239748829044e7
None,nse2_industry_load_SE3,3,1,0.0
None,nse3_industry_load_SE3,3,1,0.0
None,nse0_industry_load_SE4,4,1,1.4287332857132059e7
None,nse1_industry_load_SE4,4,1,9.679918320379721e6
None,nse2_industry_load_SE4,4,1,0.0
None,nse3_industry_load_SE4,4,1,0.0
None,nse0_losses_load_SE1,1,1,0.0
None,nse1_losses_load_SE1,1,1,0.0
None,nse2_losses_load_SE1,1,1,0.0
None,nse3_losses_load_SE1,1,1,0.0
None,nse0_losses_load_SE2,2,1,0.0
None,nse1_losses_load_SE2,2,1,0.0
None,nse2_losses_load_SE2,2,1,0.0
None,nse3_losses_load_SE2,2,1,0.0
None,nse0_losses_load_SE3,3,1,0.0
None,nse1_losses_load_SE3,3,1,0.0
None,nse2_losses_load_SE3,3,1,0.0
None,nse3_losses_load_SE3,3,1,0.0
None,nse0_losses_load_SE4,4,1,0.0
None,nse1_losses_load_SE4,4,1,0.0
None,nse2_losses_load_SE4,4,1,0.0
None,nse3_losses_load_SE4,4,1,0.0
None,nse0_baseload_NO125,5,1,3.899935899586013e7
None,nse1_baseload_NO125,5,1,0.0
None,nse2_baseload_NO125,5,1,0.0
None,nse3_baseload_NO125,5,1,0.0
None,nse0_baseload_NO3,6,1,7.458911997304714e6
None,nse1_baseload_NO3,6,1,0.0
None,nse2_baseload_NO3,6,1,0.0
None,nse3_baseload_NO3,6,1,0.0
None,nse0_baseload_NO4,7,1,6.579132128046463e6
None,nse1_baseload_NO4,7,1,0.0
None,nse2_baseload_NO4,7,1,0.0
None,nse3_baseload_NO4,7,1,0.0
None,nse0_baseload_FI,8,1,7.866820021201889e7
None,nse1_baseload_FI,8,1,5.1280374662982926e7
None,nse2_baseload_FI,8,1,5.108345098810548e7
None,nse3_baseload_FI,8,1,5.063765189235994e7
None,nse0_baseload_DK1,9,1,6.503266071796792e7
None,nse1_baseload_DK1,9,1,0.0
None,nse2_baseload_DK1,9,1,0.0
None,nse3_baseload_DK1,9,1,0.0
None,nse0_baseload_DK2,10,1,5.158220947284958e7
None,nse1_baseload_DK2,10,1,0.0
None,nse2_baseload_DK2,10,1,0.0
None,nse3_baseload_DK2,10,1,0.0
None,nse0_heating_space_load_DE,11,1,2.4786294948967603e8
None,nse1_heating_space_load_DE,11,1,1.9982258203101587e8
None,nse2_heating_space_load_DE,11,1,4.1035819293711565e7
None,nse3_heating_space_load_DE,11,1,0.0
None,nse0_heating_sanitary_load_DE,11,1,4.070230324430085e7
