Resource,Zone,StartCap,RetCap,NewCap,EndCap,StartEnergyCap,RetEnergyCap,NewEnergyCap,EndEnergyCap,StartChargeCap,RetChargeCap,NewChargeCap,EndChargeCap
solar_existing_DK1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_DK2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_DK1,9,4080.934198,0.0,0.0,4080.934198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_DK2,10,8802.707516,0.0,0.0,8802.707516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_DK1,9,3500.0,0.0,0.0,3500.0,14000.0,0.0,0.0,14000.0,0.0,0.0,0.0,0.0
battery_DK2,10,2200.0,0.0,0.0,2200.0,8800.0,0.0,0.0,8800.0,0.0,0.0,0.0,0.0
nuclear_existing_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_DE,11,9630.807967,0.0,0.0,9630.807967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_lignite_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_CCS_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_CCS_retrofit_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_lignite_CCS_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biogas_OC_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biomass_CCS_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_DE,11,25484.84805,0.0,0.0,25484.84805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_retrofit_DE,11,21982.60776,0.0,0.0,21982.60776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_existing_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_existing_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_fixed_existing_DE,11,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_fixed_DE,11,69329.0,0.0,0.0,69329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_floating_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_DE,11,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_DE,11,142999.9,0.0,0.0,142999.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_DE,11,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_DE,11,295708.2654,0.0,0.0,295708.2654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_storage_DE,11,6400.0,0.0,0.0,6400.0,37000.0,0.0,0.0,37000.0,0.0,0.0,0.0,0.0
battery_storage_DE,11,32106.29899,0.0,0.0,32106.29899,216694.1364,0.0,0.0,216694.1364,0.0,0.0,0.0,0.0
hydrogen_OC_storage_DE,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydrogen_CC_storage_DE,11,33925.64384,0.0,0.0,33925.64384,1.70985245e7,0.0,0.0,1.70985245e7,49929.36695,0.0,0.0,49929.36695
nuclear_PL,12,12436.57139,0.0,0.0,12436.57139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_PL,12,667.902266,0.0,0.0,667.902266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_lignite_PL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_PL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_PL,12,2029.289314,0.0,0.0,2029.289314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_PL,12,3400.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_PL,12,400.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_PL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_PL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_PL,12,498.0,0.0,0.0,498.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_PL,12,28097.45893,0.0,0.0,28097.45893,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_PL,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_PL,12,11760.99571,0.0,0.0,11760.99571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battery_PL,12,11000.0,0.0,0.0,11000.0,44000.0,0.0,0.0,44000.0,0.0,0.0,0.0,0.0
nuclear_BT,13,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_new_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oilshale_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
must_run_BT,13,1400.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_BT,13,281.519833,0.0,0.0,281.519833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_new_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_BT,13,11686.69223,0.0,0.0,11686.69223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_new_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_BT,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_BT,13,3020.370646,0.0,0.0,3020.370646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuclear_UK,14,10500.0,0.0,0.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal_hard_UK,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_CCS_UK,14,40662.80062,0.0,0.0,40662.80062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_CC_UK,14,0.108318015,0.0,0.0,0.108318015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gas_OC_UK,14,3295.06016,0.0,0.0,3295.06016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_existing_UK,14,4360.0,0.0,0.0,4360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_offshore_UK,14,32466.32614,0.0,0.0,32466.32614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_existing_UK,14,707.0,0.0,0.0,707.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wind_onshore_UK,14,24193.0,0.0,0.0,24193.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_existing_UK,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
solar_UK,14,86912.53517,0.0,0.0,86912.53517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_UK,14,3025.5,0.0,0.0,3025.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydro_pumped_UK,14,4500.0,0.0,0.0,4500.0,90000.0,0.0,0.0,90000.0,0.0,0.0,0.0,0.0
battery_UK,14,41900.0,0.0,0.0,41900.0,167600.0,0.0,0.0,167600.0,0.0,0.0,0.0,0.0
nuclear_FR,15,118.2823728,0.0,0.0,118.2823728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
