hydro_SE1,hydro_SE2,hydro_NO125,hydro_NO3,hydro_NO4
0.8273600474166667,0.8239555599345237,0.8273600474166667,0.8273600474166667,0.8273600474166667
0.8271851068333334,0.8236730406547619,0.8271851068333334,0.8271851068333334,0.8271851068333334
0.82701016625,0.823390521375,0.82701016625,0.82701016625,0.82701016625
0.8268352256666667,0.823108002095238,0.8268352256666667,0.8268352256666667,0.8268352256666667
0.8266602850833333,0.8228254828154762,0.8266602850833333,0.8266602850833333,0.8266602850833333
0.8264853445,0.8225429635357142,0.8264853445,0.8264853445,0.8264853445
0.8263104039166667,0.8222604442559523,0.8263104039166667,0.8263104039166667,0.8263104039166667
0.8261354633333333,0.8219779249761905,0.8261354633333333,0.8261354633333333,0.8261354633333333
0.82596052275,0.8216954056964285,0.82596052275,0.82596052275,0.82596052275
0.8257855821666666,0.8214128864166667,0.8257855821666666,0.8257855821666666,0.8257855821666666
0.8256106415833333,0.8211303671369048,0.8256106415833333,0.8256106415833333,0.8256106415833333
0.825435701,0.8208478478571428,0.825435701,0.825435701,0.825435701
0.8252607604166666,0.820565328577381,0.8252607604166666,0.8252607604166666,0.8252607604166666
0.8250858198333334,0.820282809297619,0.8250858198333334,0.8250858198333334,0.8250858198333334
0.8249108792500001,0.8200002900178571,0.8249108792500001,0.8249108792500001,0.8249108792500001
0.8247359386666667,0.8197177707380953,0.8247359386666667,0.8247359386666667,0.8247359386666667
0.8245609980833334,0.8194352514583333,0.8245609980833334,0.8245609980833334,0.8245609980833334
0.8243860575,0.8191527321785714,0.8243860575,0.8243860575,0.8243860575
0.8242111169166667,0.8188702128988095,0.8242111169166667,0.8242111169166667,0.8242111169166667
0.8240361763333334,0.8185876936190476,0.8240361763333334,0.8240361763333334,0.8240361763333334
0.82386123575,0.8183051743392857,0.82386123575,0.82386123575,0.82386123575
0.8236862951666667,0.8180226550595238,0.8236862951666667,0.8236862951666667,0.8236862951666667
0.8235113545833334,0.8177401357797619,0.8235113545833334,0.8235113545833334,0.8235113545833334
0.823336414,0.8174576165,0.823336414,0.823336414,0.823336414
0.8231614734166667,0.8171750972202381,0.8231614734166667,0.8231614734166667,0.8231614734166667
0.8229865328333333,0.8168925779404762,0.8229865328333333,0.8229865328333333,0.8229865328333333
0.82281159225,0.8166100586607142,0.82281159225,0.82281159225,0.82281159225
0.8226366516666667,0.8163275393809524,0.8226366516666667,0.8226366516666667,0.8226366516666667
0.8224617110833333,0.8160450201011905,0.8224617110833333,0.8224617110833333,0.8224617110833333
0.8222867705,0.8157625008214285,0.8222867705,0.8222867705,0.8222867705
0.8221118299166666,0.8154799815416667,0.8221118299166666,0.8221118299166666,0.8221118299166666
0.8219368893333333,0.8151974622619047,0.8219368893333333,0.8219368893333333,0.8219368893333333
0.82176194875,0.8149149429821428,0.82176194875,0.82176194875,0.82176194875
0.8215870081666666,0.814632423702381,0.8215870081666666,0.8215870081666666,0.8215870081666666
0.8214120675833334,0.814349904422619,0.8214120675833334,0.8214120675833334,0.8214120675833334
0.8212371270000001,0.8140673851428571,0.8212371270000001,0.8212371270000001,0.8212371270000001
