region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Inv_cost_Charge_MW,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Fixed_OM_cost_Charge_MW,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
None,hydro_FI,8,1,102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.870940693434484e8,0.0,0.0,0.0,0.0,0.0,8.870940693434484e8,0.0,8.870940693434484e8
None,wind_offshore_existing_FI,8,1,103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_offshore_FI,8,1,104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,wind_onshore_existing_FI,8,1,105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.017665816143296e8,0.0,0.0,0.0,0.0,0.0,1.017665816143296e8,0.0,1.017665816143296e8
None,wind_onshore_FI,8,1,106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2899989129044366e9,0.0,0.0,0.0,0.0,0.0,2.2899989129044366e9,0.0,2.2899989129044366e9
None,solar_existing_FI,8,1,107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,solar_FI,8,1,108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3924516518876866e7,0.0,0.0,0.0,0.0,0.0,3.3924516518876866e7,0.0,3.3924516518876866e7
None,battery_FI,8,1,109,0.0,0.0,0.0,0.0,0.0,0.0,7.791873518940064e7,0.0,0.0,0.0,1.3106118120872317e7,1.552717668704043e8,0.0,0.0,0.0,0.0,0.0,1.552717668704043e8,9.102485331027296e7,6.424691356013134e7
None,hydrogen_storage_FI,8,1,110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,must_run_DK1,9,1,111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1885734208857343e8,0.0,0.0,0.0,0.0,0.0,2.1885734208857343e8,0.0,2.1885734208857343e8
None,must_run_DK2,10,1,112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.859285444485953e8,0.0,0.0,0.0,0.0,0.0,6.859285444485953e8,0.0,6.859285444485953e8
None,coal_hard_DK1,9,1,113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_DK1,9,1,114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.538549664673484e8,0.0,0.0,0.0,3.3365516002295744e8,0.0,0.0,0.0,0.0,0.0,3.3365516002295744e8,3.538549664673484e8,-2.0199806444390953e7
None,gas_DK2,10,1,115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.373406740258713e8,0.0,0.0,0.0,1.9552592768491715e8,0.0,0.0,0.0,0.0,0.0,1.9552592768491715e8,1.373406740258713e8,5.8185253659045845e7
None,gas_CC_CCS_DK1,9,1,116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
None,gas_CC_CCS_retrofit_DK2,10,1,117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
